Trajectories
100
,,Patient T:T10,,,Patient T:SACR,,,Patient T:NAVE,,,Patient T:XYPH,,,Patient T:STRN,,,Patient T:LASIS,,,Patient T:RASIS,,,Patient T:LPSIS,,,Patient T:RPSIS,,,Patient T:LGTRO,,,Patient T:FLTHI,,,Patient T:LLEK,,,Patient T:LATI,,,Patient T:LLM,,,Patient T:LHEE,,,Patient T:LTOE,,,Patient T:LMT5,,,Patient T:RGTRO,,,Patient T:FRTHI,,,Patient T:RLEK,,,Patient T:RATI,,,Patient T:RLM,,,Patient T:RHEE,,,Patient T:RTOE,,,Patient T:RMT5,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20,0,46.9055,-68.8233,1283.17,32.2834,-49.8791,1194.2,77.4004,-361.784,1074.31,75.2824,-401.684,1252.37,70.3233,-411.014,1347.96,245.243,-241.532,1103.31,-98.7118,-241.475,1076.97,135.676,-41.3891,1167.77,-46.0956,-46.0462,1142.49,242.782,-219.699,1058.15,272.869,-243.301,804.432,240.941,-253.275,551.517,245.807,-235.003,372.862,178.449,-190.915,80.5,126.868,-109.968,27.4895,127.492,-402.958,26.4665,205.274,-371.353,35.5804,-84.0355,-223.437,1015.99,-147.85,-90.0992,378.627,-203.632,109.891,233.77,-173.854,189.919,195.953,-204.678,224.68,175.655,-135.434,269.255,223.445,-120.79,114.219,22.5124,-204.026,127.23,57.494
21,0,49.3138,-68.0356,1285.62,34.7504,-48.8801,1197.5,78.3027,-360.937,1076.15,75.3695,-400.999,1253.9,70.4006,-410.745,1349.23,246.662,-241.036,1104.52,-97.7694,-239.747,1080.17,137.637,-41.0437,1170.35,-43.9069,-44.6535,1145.76,244.295,-219.074,1058.74,275.09,-239.461,803.942,242.414,-248.272,551.298,247.643,-228.042,372.896,178.56,-185.13,80.6004,126.681,-104.617,27.4855,127.979,-397.56,26.4379,205.471,-365.843,35.5679,-82.7248,-221.762,1019.59,-149.289,-96.8039,382.012,-204.327,100.823,233.18,-172.298,182.17,200.754,-202.587,219.398,183.214,-132.9,258.645,233.409,-120.686,117.812,22.5344,-204.407,129.01,58.6147
22,0,51.8719,-67.2973,1288.34,37.373,-47.526,1200.15,79.0537,-359.397,1077.82,75.3828,-400.197,1255.4,70.2746,-410.167,1350.98,247.812,-240.731,1105.63,-96.6631,-237.299,1083.33,139.924,-40.208,1172.95,-41.6831,-43.1861,1149.32,245.784,-218.181,1059.44,277.292,-235.656,803.956,244.106,-243.091,551.382,248.807,-220.747,373.203,178.449,-178.235,80.7378,126.922,-98.5178,27.7366,127.644,-391.375,26.5938,205.626,-360.733,35.5945,-81.6898,-219.935,1023.19,-150.985,-103.723,385.097,-204.689,90.6006,231.954,-172.286,173.941,206.281,-200.35,211.912,190.077,-129.769,245.729,243.357,-120.37,121.087,22.4249,-204.519,131.598,59.5706
23,0,54.1754,-66.2535,1290.83,41.1178,-46.8956,1201.96,79.8147,-358.517,1079.49,75.0834,-398.891,1256.96,70.0604,-409.807,1352.48,248.913,-240.122,1106.94,-95.3529,-235.455,1086.24,142.294,-39.4472,1174.85,-39.2863,-41.4618,1152.56,246.977,-217.607,1059.99,279.118,-231.918,803.633,245.804,-237.777,551.274,250.354,-214.223,373.297,178.583,-173.21,80.6935,127.222,-92.6386,27.8756,127.749,-385.382,26.6909,205.39,-354.528,35.8842,-80.6729,-218.038,1026.74,-152.516,-111.165,388.303,-204.879,79.5175,230.003,-170.436,163.654,209.624,-198.068,202.959,197.447,-126.686,231.419,252.708,-119.815,122.629,23.1019,-203.672,133.494,60.984
24,0,56.9089,-65.0741,1293,43.5923,-45.5033,1204.61,80.1997,-356.863,1081.46,74.703,-397.188,1258.51,69.688,-409.286,1353.84,249.713,-239.812,1108.03,-94.2062,-233.491,1089.64,144.606,-38.3976,1177.33,-36.6021,-39.2274,1155.71,248.006,-216.719,1060.51,280.852,-228.669,803.56,247.491,-233.025,550.897,251.815,-207.226,373.154,178.776,-167.372,80.7778,127.378,-86.5651,28.0732,127.788,-379.478,26.791,205.688,-348.972,35.9196,-79.7788,-215.839,1030.41,-154.171,-119.173,391.549,-204.795,67.4826,228.296,-167.464,151.042,212.527,-195.569,192.694,204.098,-123.459,215.7,261.468,-119.281,122.901,24.7802,-202.852,132.748,63.7312
25,0,59.192,-63.4557,1295.61,45.4091,-43.7178,1208.32,80.256,-355.319,1083.11,74.1694,-395.374,1260.03,69.0096,-408.399,1355.55,250.241,-239.322,1109.17,-93.1923,-230.95,1092.78,147.184,-37.3963,1178.99,-34.1331,-36.8609,1158.63,248.864,-216.05,1060.9,281.981,-226.021,803.374,249.209,-227.655,550.647,253.944,-198.245,373.595,178.59,-161.363,80.9742,127.714,-80.5223,28.3607,127.883,-373.378,26.9529,205.907,-343.329,36.0944,-79.1701,-213.598,1033.98,-155.324,-127.719,395.012,-204.399,54.9402,226.799,-165.321,138.46,217.052,-192.823,181.11,210.887,-120.185,199.403,269.294,-118.071,120.648,27.6207,-201.255,129.671,66.9815
26,0,61.7142,-61.9693,1298,48.782,-41.8038,1209.72,80.0865,-353.869,1085.09,73.4446,-393.335,1261.48,68.3338,-407.593,1356.98,250.552,-238.671,1110.26,-92.575,-228.67,1095.71,149.33,-36.1445,1181.02,-31.5437,-34.328,1161.49,249.499,-215.117,1061.31,281.995,-224.89,802.949,250.428,-222.431,550.123,255.173,-191.686,373.589,178.634,-155.522,81.1029,127.785,-74.5994,28.5467,127.946,-366.843,26.9406,206.086,-337.795,36.1651,-78.601,-211.169,1037.6,-157.04,-136.152,398.91,-203.917,42.1431,226.193,-163.585,125.614,221.596,-189.605,168.609,216.389,-117.115,182.641,276.084,-115.673,115.528,30.7851,-198.906,124.205,70.2787
27,0,64.2408,-60.5284,1300.14,50.8586,-39.872,1212.42,79.7838,-352.297,1086.72,72.7981,-391.446,1262.77,67.6385,-406.726,1358.31,250.872,-238.297,1110.98,-92.1741,-225.766,1099.19,151.828,-35.0235,1182.48,-29.1141,-31.5669,1164.01,250.061,-214.772,1061.69,282.354,-224.653,802.289,251.331,-217.085,549.594,255.828,-185.148,373.035,178.598,-149.895,81.2298,128.082,-68.729,28.7931,128.018,-362.508,27.043,207.395,-332.897,35.4921,-78.2122,-208.945,1041.07,-159.237,-146.961,402.589,-203.742,29.4087,226.192,-162.827,112.565,226.121,-187.16,156.201,220.963,-114.248,165.917,281.77,-111.943,107.485,34.3502,-195.525,117.298,73.3435
28,0,66.8251,-59.4728,1302.6,53.2014,-37.8002,1214.53,79.0645,-350.371,1088.47,72.0196,-389.697,1264.06,66.6374,-405.906,1359.45,251.146,-237.838,1111.58,-91.6594,-222.489,1102.17,154.279,-33.8091,1184.05,-26.5303,-28.8027,1166.21,250.819,-214.291,1061.89,281.802,-221.966,802.183,251.975,-212.146,549.123,255.883,-179.118,372.964,178.485,-144.027,81.3657,128.178,-62.7107,29.1956,127.894,-356.016,27.1183,210.912,-326.469,36.9806,-78.026,-206.427,1044.41,-160.35,-154.549,407.722,-203.472,16.2273,226.351,-160.266,98.6414,228.156,-183.394,142.581,224.502,-111.646,149.308,286.613,-107.318,97.5959,37.6397,-190.997,107.922,75.7502
29,0,69.334,-58.0188,1305.26,55.828,-35.7216,1216.14,78.2426,-348.755,1090.14,71.1362,-388.323,1264.99,65.5674,-404.869,1360.56,251.326,-237.242,1112.11,-91.1826,-219.267,1105.47,156.188,-32.6282,1185.03,-24.3965,-25.7924,1168.54,251.056,-213.391,1061.99,279.938,-216.746,802.693,252.639,-207.279,548.241,255.39,-172.86,372.64,178.472,-137.99,81.5571,128.363,-56.5705,29.5491,127.987,-349.549,27.1678,210.343,-320.028,36.5921,-78.1145,-203.418,1047.77,-162.39,-163.831,412.322,-204.433,3.40259,225.524,-158.198,84.8649,229.989,-179.994,128.908,227.159,-109.028,133.099,290.617,-102.655,86.1062,40.6379,-186.857,97.8972,77.9179
